"id","category","tool_or_paper","version_year","doi_or_url","evidence_quote","matrix_scale","aggregation_class","confidence","notes"
"11","toolkit","SnapATAC2 pp.make_gene_matrix() + standard PBMC tutorial","SnapATAC2 2.9.0 (installed); Zhang 2024","10.1038/s41592-023-02139-9 ; http://snapatac2.scverse.org/tutorials/pbmc.html","Docstring (local 2.9.0): ""Generate cell by gene activity matrix by counting the TN5 insertions in each gene's regulatory domain."" Tutorial: 'gene_matrix = snap.pp.make_gene_matrix(data, snap.genome.hg38)' / 'sc.pp.filter_genes(gene_matrix, min_cells=5)' / 'sc.pp.normalize_total(gene_matrix)' / 'sc.pp.log1p(gene_matrix)' / 'sc.external.pp.magic(gene_matrix, solver=""approximate"")' / 'sc.pl.umap(gene_matrix, use_raw=False, color=[""leiden""] + marker_genes)'. Tutorial text: ""the cell by gene activity matrix is usually very sparse"" and MAGIC is used for ""imputation and data smoothing"" to help ""visulization and marker gene identification"".","raw TN5 insertion counts per gene","log-mean (tutorial normalises per cell then log1p; any group summary via scanpy dotplot / rank_genes_groups is a mean of logs)","verified from code (local docstring) + documentation (tutorial)","normalize_total IS a linear per-cell normalisation -- but it is immediately followed by log1p, and every scanpy group summary downstream then averages the logged values. MAGIC smoothing adds a further non-linearity before marker inspection."
"12","toolkit","EpiScanpy epi.tl.geneactivity()","epiScanpy 0.3.x; Danese 2021","10.1038/s41467-021-25131-3 ; https://colomemaria.github.io/episcanpy_doc/api/episcanpy.api.tl.geneactivity.html","Docstring: ""Build an AnnData object containing the number of open features (windows, peaks, etc) overlapping genes (gene bodies + 5kb upstream of the TSS)."" Source: values come from 'np.sum(matrix[:, indice].todense(), axis=1)' then 'gene_activity = np.concatenate(genes, axis=-1)'. No normalisation or log transform is applied inside the function.","raw summed counts per gene window","log-mean (function emits raw counts; the scanpy workflow log-transforms before any group summary)","verified from code (GitHub source) + documentation","Documentation states no normalisation. epiScanpy is a scanpy derivative, so group summaries inherit rows 6-7."
"13","toolkit","Cicero build_gene_activity_matrix() + normalize_gene_activities()","Cicero 1.x; Pliner 2018","10.1016/j.molcel.2018.06.044 ; https://github.com/cole-trapnell-lab/cicero-release/blob/master/R/activityScores.R","Roxygen: ""This function calculates the initial Cicero gene activity matrix. After this function, the activity matrix should be normalized with any comparison matrices using the function `normalize_gene_activities`."" normalize_gene_activities code: 'normalization_df$total_sites <- cell_num_genes[as.character(normalization_df$cell)]' ; 'activity_model <- stats::lm(log(total_activity) ~ log(total_sites), data=normalization_df)' ; 'size_factors <- log(normalization_df$fitted_curve) / mean(log(normalization_df$fitted_curve))' ; 'scores@x <- pmin(1e9, exp(scores@x) - 1)' ; 'sum_activity_scores <- Matrix::colSums(scores)' ; 'scale_factors <- Matrix::Diagonal(x=1/sum_activity_scores)'","unnormalised weighted co-accessibility sums, then explicitly normalised","linear per-cell normalised (each cell's scores are rescaled to sum to 1)","verified from code","DEPTH-SAFE: the final step divides each cell by its own total activity, i.e. a per-cell linear (fraction-of-total) normalisation, after regressing total activity on the number of accessible sites per cell."
"14","toolkit","pycisTopic get_gene_activity() (SCENIC+)","pycisTopic 2.x / SCENIC+ 2023","10.1038/s41592-023-01938-4 ; https://github.com/aertslab/pycisTopic/blob/main/src/pycisTopic/gene_activity.py","Signature parameter: 'imputed_acc_object: CistopicImputedFeatures'. Aggregation: 'imputed_acc_obj_mtx[region_weights_df_per_gene.Index, :].T.dot((region_weights_df_per_gene.Weight.values))' ; optional '/ region_weights_df_per_gene.shape[0]' when average_scores=True ; 'gene_act = gene_act * scale_factor'. Docstring: ""scale_factor: Value to multiply for the final gene activity matrix. Default: 1"" ; ""average_scores: Whether to divide by the total number of region assigned to a gene when calculating the gene activity score. Default: True""","weighted sum over imputed (topic-model) accessibility; no log1p or per-cell normalisation inside the function","unstated","verified from code","The depth behaviour depends entirely on the CistopicImputedFeatures input (topic-model imputed accessibility, itself scaled), so the aggregation scale cannot be read off this function alone. Marked unstated rather than guessed."
"15","deconvolution","EPIC-ATAC (Gabriel et al.)","2024, eLife","10.7554/eLife.94833","""We normalized the ATAC-Seq counts of the reference samples using a TPM-like transformation, that is dividing counts by peak length, correcting sample counts for depth and rescaling counts so that the counts of each sample sum to 10^6."" ""We then computed for each peak the median of the TPM-like counts across all samples from each cell type to build the reference profiles."" For mixtures: ""normalize the ATAC-Seq counts by dividing counts by the peak lengths as well as sample depth and rescaling counts so that the counts of each sample sum to 10^6.""","TPM-like (linear, depth- and length-corrected), from sorted bulk ATAC-seq","linear-CPM/TPM (median across sorted bulk samples)","from Methods text","DEPTH-SAFE and explicit. Reference is bulk sorted populations, not scATAC, so the per-cell aggregation question does not arise -- but it confirms the linear-scale convention for reference profiles."
"16","deconvolution","DeconPeaker (Li et al.)","2020, Front Genet","10.3389/fgene.2020.00392","""To avoid batch effects, we performed quantile normalization on the count matrix across all reference samples and excluded peaks below the median value of globally normalized intensities."" ""Finally, the intensity of each CTSP was represented with the average of the peaks in each cell type's samples.""","quantile-normalised peak intensities from bulk sorted ATAC-seq","bulk-sorted reference (quantile-normalised, mean across samples)","from Methods text","Not scATAC-derived. Quantile normalisation forces a common distribution per sample, which handles depth differently from CPM but is a linear-scale rank remapping, not a mean of logs."
"17","deconvolution","CIBERSORTx single-cell signature matrix (Newman et al.)","2019, Nat Biotechnol","10.1038/s41587-019-0114-2","""Single-cell expression values were first normalized to TPM and divided by 10 to better approximate the number of transcripts per cell"". ""We then aggregated the profiles by summation in non-log linear space and normalized each population-level GEP into TPM."" ""...expression data in M' and B are represented in non-log linear space"".","per-cell TPM, summed in non-log linear space, renormalised to TPM","pseudobulk-CPM","from Methods text","STRONG PRECEDENT for the paper's recommendation -- and an argument the reviewer will use ('this is known'). Note it is stated for scRNA-seq, and the requirement is enforced as an input rule, not benchmarked. Widely re-used to build scATAC-derived signature matrices by analogy."
"18","deconvolution","EPISCORE (Teschendorff et al.)","2020, Genome Biology","10.1186/s13059-020-02126-9","""...which were subsequently normalized by first scaling each cell by the ratio of the maximum total read count across all cells to the cell's total read count, then adding a pseudocount of + 1, and finally taking a log2 transformation."" ""for the resulting marker genes, we construct two scRNA-Seq reference matrices, one using the median over all cells within each cluster (cell type) and another using the average...we only use the median-based one"".","per-cell linearly rescaled to a common total, then log2(x+1)","log-mean (strictly: median of log2 values, after a linear per-cell normalisation)","from Methods text","PARTIALLY depth-safe in exactly the way the paper describes: the linear per-cell rescale is done FIRST (good), but the per-cell-type summary is then a median of log values, so it still tracks detection rate. Marker criteria are also detection-based ('highest and non-zero median expression', 'marker specificity score')."
"19","deconvolution","DECA (Luo et al.)","2025, Brief Bioinform","10.1093/bib/bbaf069","""Following the TAPE method, utilizing Dirichlet distribution to simulate the combination of cell type proportions."" ""To facilitate optimal learning from both datasets with differing resolutions, we employed min-max normalization strategy to adjust for discrepancies in sequencing depth and cellular heterogeneity between the bulk and single-cell datasets.""","min-max normalised; underlying per-cell scale not stated","unstated","from Methods text","Explicitly acknowledges sequencing depth as a problem, but the fix is a feature-wise min-max rescale, and the Methods never say whether cells were summed or averaged on the raw, CPM, or log scale. A clean example of an unstated aggregation."
"20","deconvolution","scATAcat (Altay et al.)","2024, NAR Genomics and Bioinformatics","10.1093/nargab/lqae135","""we compute its accessibility profile by adding the read coverage for each feature across the cluster member cells"" ; ""we apply library size normalization and log2 transformation to the pseudobulk matrix and subset the matrix to differential cCREs"" ; for the reference: ""We apply library size normalization and log2 transformation to the original data and finally subset the matrix to differential cCREs."" Both matrices then undergo a per-column z-score before PCA co-embedding.","pseudobulk sums, library-size normalised, log2, then z-scored","pseudobulk-CPM","from Methods text","DEPTH-SAFE ordering: cells are SUMMED first and the normalisation applied to the pseudobulk, so the log is a log-of-mean, not a mean-of-log. This is the correct pattern the paper endorses."
"21","primary paper","Muto et al., ADPKD multimodal single-cell","2022, Nature Communications","10.1038/s41467-022-34255-z","""A gene activity matrix was constructed by counting ATAC peaks within the gene body and 2 kb upstream of the transcriptional start site using protein-coding genes annotated in the Ensembl database."" ""The gene activity matrix was log-normalized."" ""Each cluster was annotated based on gene activities."" ""Differential gene activities among cell types or between ADPKD and control cells in each cell type were assessed with the Seurat FindMarkers function with a log-fold-change threshold of 0.25.""","peak counts in gene body + 2 kb, log-normalised","log-mean (annotation reads the log-normalised assay; per-type aggregation scale never stated)","from Methods text","Says explicitly that the matrix was log-normalised and that clusters were annotated 'based on gene activities', but never says on what scale the per-cluster comparison was made. FindMarkers' own FC would be a linear mean (row 5); manual inspection of the log slot would not."
"22","primary paper","Zhang et al., single-cell atlas of chromatin accessibility in the human genome","2021, Cell","10.1016/j.cell.2021.10.024","""We aggregated open chromatin fragments from each cluster and utilized the promoter accessibility, defined as RPM of +/- 1kb around TSS, as the proxy for gene activity."" ""We then computed the raw cell type enrichment score as the logarithm of the geometric mean of marker genes' activity."" ""The final enrichment scores were obtained by applying two rounds of z-score transformation, first across cell types and then across cell clusters, on raw enrichment scores."" ""For each cluster, we picked the cell type that showed strongest enrichment to make initial assignments.""","per-cluster pseudobulk fragments expressed as RPM (reads per million)","pseudobulk-CPM","from Methods text","DEPTH-SAFE and the best-practice example among the primary papers: fragments are POOLED per cluster and then converted to RPM, so the normalisation follows the aggregation. The subsequent double z-scoring removes level information but is applied to an already depth-normalised quantity."
"23","primary paper","Braband et al., scATAC of murine tissue CD4+ T cells","2023, Frontiers in Immunology","10.3389/fimmu.2023.1232511","""Gene scores can be calculated directly during arrow file creation or can be added later"" -- ""we generated them directly when creating the arrow files by setting the parameter addGeneScoreMat to TRUE."" ""getMarkerFeatures(ArchRProj = proj, useMatrix = 'GeneScoreMatrix', groupBy = 'Clusters', bias = c('TSSEnrichment', 'log10(nFrags)'), testMethod = 'wilcoxon')"". ""Cell types of interest can be identified using gene scores of prior-knowledge marker genes in combination with sample information."" ""imputation using MAGIC can be used to smooth gene scores across nearby cells.""","ArchR gene scores (per-cell normalised to scaleTo=10^4)","linear-CPM-mean (ArchR default)","from Methods text (aggregation inferred from the documented ArchR default, rows 8-9)","DEPTH-SAFE by inheritance from ArchR. The paper itself never states the aggregation scale -- it is safe only because the toolkit default is."
"24","primary paper","Suen et al., single-cell chromatin landscape in gonadal cell lineage specification","2024, BMC Genomics","10.1186/s12864-024-10376-1","""ArchR was used to estimate gene expression for genes and TF motif activity from single cell chromatin accessibility data. Gene scores were calculated using the addGeneScoreMatrix function with gene score models implemented in ArchR."" ""...the getMarkerFeatures function in ArchR with useMatrix = 'GeneScoreMatrix' or 'PeakMatrix', respectively. ArchR performed Wilcoxon testing for comparison after accounting for the biases (i.e., 'TSSEnrichment' score and 'log10(nFrags)'.""","ArchR gene scores (per-cell normalised to scaleTo=10^4)","linear-CPM-mean (ArchR default)","from Methods text (aggregation inferred from documented ArchR default)","DEPTH-SAFE by inheritance. Notably this paper does name the depth covariates it controls for in the TEST ('log10(nFrags)'), but says nothing about the scale of the profile itself."
"25","primary paper","Farghli et al., snATAC-seq of fibrolamellar carcinoma","2026, Scientific Reports","10.1038/s41598-026-44899-2","""We demonstrated cell type marker specificity using violin plots that depict ArchR calculated gene activity scores"". ""We identified cluster markers using the function 'getMarkerFeatures' with default parameters and then applied the 'addImputeWeights' function to impute the weights of markers."" ""We visualized marker features using the 'plotEmbedding' function for UMAPs or `plotGroups` for violin plots.""","ArchR gene scores (per-cell normalised to scaleTo=10^4)","linear-CPM-mean (ArchR default)","from Methods text (aggregation inferred from documented ArchR default)","DEPTH-SAFE by inheritance; the paper says 'default parameters' and does not state a normalisation of its own. Display is log2(x+1) via plotEmbedding (row 10)."
"26","primary paper","Camp et al., single-cell epigenetic profiling of ccRCC","2026, Science Advances","10.1126/sciadv.adv5457","""To facilitate cell-type annotation, we calculated gene activity scores in Signac and copy number profiles with CopyscAT"". Cluster annotation was guided by ""differential gene activity score analysis, inspection of insertion events at known marker genes, and copy number estimates"". Figure 1D legend: ""scaled average gene activity scores across broad nontumor cell types"" with ""canonical marker genes in top 100 sets are annotated"".","Signac gene activity (raw counts unless normalised; normalisation not stated)","z-scaled average of an unstated scale","from Methods text / figure legend","EXACTLY THE FAILURE MODE THE PAPER DESCRIBES: a per-cell-type AVERAGE of Signac gene activity that is then SCALED, with the scale of the average left unstated in the Methods. Could not verify from code (no public analysis repository located)."
"27","primary paper","Ma et al., retina and brain microglia in neurodegenerative disease","2025, Genome Research","10.1101/gr.280554.125","""A new gene activity matrix was calculated using the GeneActivity function"". ""The count matrix in this assay was normalized using NormalizeData with default parameters."" ""Finally, module scores based on our curated list of marker genes were computed and visualized using Seurat's DotPlot function.""","Signac gene activity counts, NormalizeData default (LogNormalize, scale.factor = 10^4)","log-mean (module scores are averaged from the log-normalised 'data' layer)","from Methods text","A per-cell linear normalisation IS applied (scale.factor 10^4), but AddModuleScore averages the LOG values, so the annotation statistic is a mean of logs. The DotPlot wrapper would exponentiate raw features, but the plotted quantity here is the module score."
"28","primary paper","dbscATAC (single-cell enhancer/marker resource)","2025, database resource","https://pmc.ncbi.nlm.nih.gov/articles/PMC12237509/","""the total gene activity score can be calculated as: Score_g = sum_{i=TSS_g}^{TES_g} Accessibility(i) + sum_{j=TSS_g-d}^{TSS_g} Accessibility(j)"". ""After normalizing this gene matrix, the 'FindAllMarkers' function in Seurat was applied to identify tissue/cell-type-specific gene markers"" with ""an adjusted P-value with cutoff as 1e-5, a minimum fraction of expressed cells in relative tissue/cell type as 0.3, and a log2 fold change threshold as 0.585.""","summed accessibility over gene body + upstream window","unstated","from Methods text","""After normalizing this gene matrix"" -- the normalisation method is never named. This resource publishes cell-type marker gene sets derived from that unnamed scale, so any downstream consumer inherits it."
